core_idx,g1,g2
0,0.992897,0.000000
1,0.810168,0.385072
2,0.778794,0.000000
3,0.743857,0.415066
4,0.738140,0.000000
5,0.769870,0.367670
6,0.807055,0.000000
7,0.401006,0.000000
8,0.494612,0.000000
9,0.371567,0.000000
10,0.455983,0.000000
11,0.339447,0.000000
12,0.430988,0.000000
13,0.332874,0.000000
14,0.445486,0.000000
15,0.362991,0.000000
16,0.488858,0.000000
17,0.399363,0.000000
18,0.513206,0.000000
