core_idx,g1,g2
1.211671,0.171452,0.130209,0.122194,0.482144,0.035828,0.230572,0.168422,0.417743,0.205234,0.432998,0.410600,0.393916,0.399049,0.141181,0.174237,0.404789,0.035904,0.630098,0.082780,0.527016,0.028034,0.315683,0.034730,0.285779,0.348465,0.246207,0.369035,0.083476,0.070941
1.094092,0.313766,0.321396,0.243130,0.039220,0.089888,0.115903,0.502409,0.371704,0.344021,0.252785,0.085399,0.360911,0.075227,0.403234,0.067264,0.301039,0.024526,0.033527,0.420984,0.159423,0.283246,0.054107,0.379478,0.163518,0.047866,0.373112,0.262858,0.349109,0.038763
0.776742,0.155051,0.087163,0.093472,0.072702,0.350849,0.082225,0.508976,0.438573,0.158870,0.181952,0.032472,0.354772,0.306536,0.418440,0.060463,0.202883,0.029379,0.059155,0.132358,0.164695,0.346895,0.030235,0.151362,0.088149,0.082224,0.576823,0.343304,0.071294,0.198367
1.345821,0.075413,0.071622,0.208720,0.054620,0.065057,0.319489,0.271960,0.071096,0.352115,0.408054,0.213140,0.073830,0.090390,0.164804,0.026329,0.055649,0.144637,0.102922,0.107630,0.043385,0.047593,0.321006,0.018573,0.143998,0.368503,0.273876,0.131942,0.437741,0.050060
1.343854,0.094470,0.315872,0.489486,0.036482,0.321182,0.401645,0.024091,0.317136,0.023631,0.121979,0.098108,0.307543,0.152910,0.333402,0.338921,0.047590,0.054915,0.324786,0.132849,0.425831,0.156584,0.065901,0.340488,0.418888,0.079306,0.647220,0.092928,0.041943,0.081978
0.979385,0.204530,0.497420,0.242176,0.195468,0.424008,0.538749,0.169533,0.170804,0.346593,0.480956,0.320549,0.023726,0.422646,0.043643,0.027519,0.037235,0.056771,0.080527,0.317469,0.595623,0.063298,0.043244,0.110079,0.055234,0.167938,0.111964,0.112326,0.445369,0.050661
1.066705,0.502420,0.250056,0.272812,0.377850,0.415815,0.302532,0.094716,0.258203,0.258726,0.221032,0.368771,0.205529,0.446255,0.136484,0.043014,0.452151,0.318163,1.162173,0.122453,0.115764,0.195293,0.406258,0.033533,0.043913,0.174021,0.405363,0.424086,0.801431,0.076900
1.164945,0.065771,0.107943,0.107556,0.173021,0.050210,0.117396,0.401081,0.454960,0.178704,0.093600,0.216427,0.236392,0.052008,0.133204,0.427316,0.362702,0.054141,0.160605,0.031113,0.038603,0.087525,0.057967,0.282758,0.027193,0.031695,0.368818,0.152850,0.399813,0.041704
1.249805,0.329107,0.316315,0.209053,0.586657,0.717743,0.045294,0.078370,0.083942,0.135750,0.112896,0.038651,0.082442,0.230981,0.067839,0.291632,0.049100,0.061245,0.053377,0.095095,0.630153,0.236742,0.227850,0.061008,0.857234,0.265475,0.331482,0.152767,0.323469,0.207381
1.111755,0.377603,0.081805,0.263231,0.278133,0.092205,0.065605,0.157080,0.362556,0.073750,0.029444,0.076068,0.057936,0.177965,0.142778,0.215049,0.070570,0.095647,0.146115,0.042665,0.190693,0.105764,0.334796,0.334716,0.049923,0.248948,0.210720,0.308517,0.084250,0.345416
